Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login User,3101,4297,0,43724,8009.17,85.424%,2.36549,2.69,0.64,1165.0
Add New Contact,3101,775,0,46178,1787.12,85.650%,2.37052,2.91,1.05,1259.1
GET Contact lists,3101,1828,0,82438,4843.03,85.876%,2.36957,448.89,0.56,193985.2
GET Contact,3101,873,0,59989,2038.25,86.005%,2.37673,2.72,0.60,1171.9
PUT Contact list,3101,760,0,35767,1912.68,86.069%,2.37596,2.71,1.19,1167.2
PATCH Contact list,3101,809,0,30944,2063.67,86.198%,2.37651,2.74,0.67,1179.7
DELETE Contact list,3101,816,0,36174,2185.52,86.391%,2.37571,2.73,0.67,1176.4
Transaction Contact Controller,3101,6397,1817,74793,7055.71,87.069%,2.36784,15.50,4.46,6705.3
TOTAL,24808,2069,0,82438,4862.66,86.085%,18.82006,477.42,9.77,25976.2
